random,400,0.025034,0.066996
random,6400,0.113964,0.145912
random,10000,0.175953,0.268936
random,19600,0.374079,0.499964
random,40000,0.504971,0.597000
random,48400,0.710011,0.943899
random,67600,1.125097,7.231951
random,90000,1.092911,1.261950
random,102400,1.379967,1.650810
random,115600,1.590967,2.032995
random,144400,1.747847,1.982927
random,160000,2.012968,2.258062
random,176400,2.331972,13.655901
random,211600,2.892017,3.403187
random,230400,2.687931,3.020048
random,250000,3.195047,3.559113
random,270400,3.515005,4.086018
random,336400,4.229069,4.903078
random,360000,3.800869,4.237890
random,384400,4.965067,5.701065
random,409600,5.270958,6.088018
random,462400,5.255938,5.872011
random,518400,6.581068,7.503986
random,547600,6.932020,8.028030
random,577600,6.129026,6.798029
random,608400,7.095098,7.925034
random,672400,8.428812,9.569883
random,705600,9.039164,10.273933
random,739600,7.657051,8.527994
random,810000,10.349989,11.703968
random,921600,11.823893,13.578892
random,960400,9.621859,10.712862
random,1040400,13.231039,14.874935
random,1081600,11.026859,12.314081
random,1166400,12.053013,13.367891
random,1254400,12.956142,14.349937
random,1392400,16.171932,17.904043
random,1488400,18.284082,20.589113
random,1537600,33.496141,37.247181
random,1638400,20.606995,24.768829
random,1742400,17.805099,19.740105
random,1849600,23.264885,26.073933
random,1960000,24.796963,27.931929
random,2131600,45.373917,49.805880
random,2190400,22.602081,24.792194
random,2371600,29.900074,33.329010
random,2496400,26.095867,28.825998
random,2560000,26.425123,28.521061
random,2689600,35.363913,38.993835
random,3097600,31.948090,34.833908
random,3240000,40.550947,44.692993
random,3385600,34.699917,37.629128
random,3534400,43.514967,48.503876
random,4080400,42.079926,45.559883
random,3312400,41.765928,45.979977
