random,400,0.01502
random,1600,0.044107
random,3600,0.08297
random,6400,0.146866
random,10000,0.215054
random,14400,0.316858
random,19600,0.428915
random,25600,0.552893
random,32400,0.72217
random,40000,0.952959
random,48400,1.168966
random,57600,1.363039
random,67600,1.631975
random,78400,1.813889
random,90000,2.086878
random,102400,2.360106
random,115600,2.694845
random,129600,3.041983
random,144400,3.470898
random,160000,3.707886
random,176400,3.370047
random,193600,4.687786
random,211600,4.978895
random,230400,4.350185
random,250000,6.078005
random,270400,6.571054
random,291600,7.03001
random,313600,7.646084
random,336400,7.80797
random,360000,8.752823
random,384400,9.220839
random,409600,9.015083
random,435600,10.58507
random,462400,11.25288
random,490000,11.78503
random,518400,12.37011
random,547600,13.25202
random,577600,13.988018
random,608400,14.055014
random,640000,15.285969
random,672400,16.147852
random,705600,16.791821
random,739600,17.920017
random,774400,18.201113
random,810000,15.04612
random,846400,15.879869
random,883600,20.892143
random,921600,21.111012
random,960400,22.760153
random,1000000,23.498058
random,1040400,24.457932
random,1081600,19.952059
random,1123600,26.229858
random,1166400,21.728992
random,1210000,28.213024
random,1254400,28.660059
random,1299600,30.52187
random,1345600,31.193972
random,1392400,34.303904
random,1440000,26.435137
random,1488400,26.991844
random,1537600,36.082029
random,1587600,36.838055
random,1638400,30.845881
random,1690000,39.37602
random,1742400,31.763077
random,1795600,39.536953
random,1849600,42.304993
random,1904400,35.326004
random,1960000,46.081066
random,2016400,37.003994
random,2073600,38.079023
random,2131600,49.855947
random,2190400,51.53203
random,2250000,41.016102
random,2310400,47.45698
random,2371600,43.704033
random,2433600,44.653893
random,2496400,46.138048
random,2560000,46.977997
random,2624400,48.327923
random,2689600,49.412012
random,2755600,51.071167
random,2822400,64.809799
random,2890000,53.359032
random,2958400,53.457022
random,3027600,55.86195
random,3097600,56.120872
random,3385600,62.431097
random,3459600,63.830853
random,3534400,65.117121
random,3610000,66.893816
random,3686400,67.810059
random,3763600,69.488049
random,3920400,71.664095
random,4000000,73.737144
random,4080400,75.642824
