hard-maze,normal,328680,64,1.314880,2.080192
hard-maze,normal,328680,64,1.303712,1.985632
hard-maze,normal,328680,64,1.306848,2.012288
hard-maze,normal,328680,64,1.306144,2.017280
hard-maze,normal,328680,64,1.305088,1.974912
hard-maze,normal,328680,64,1.305472,2.012672
hard-maze,normal,328680,64,1.308992,2.017152
hard-maze,normal,328680,64,1.302784,1.962976
hard-maze,normal,328680,64,1.311648,2.106816
hard-maze,normal,328680,64,1.311552,2.030112
hard-maze,normal,328680,64,1.320640,2.114208
hard-maze,normal,328680,64,1.314112,2.029376
hard-maze,normal,328680,64,1.317408,2.084768
hard-maze,normal,328680,64,1.307392,2.015296
hard-maze,normal,328680,64,1.310688,2.026688
hard-maze,normal,328680,64,1.310880,2.071744
hard-maze,normal,328680,64,1.309312,2.015232
hard-maze,normal,328680,64,1.319968,2.214304
hard-maze,normal,328680,64,1.310592,2.027168
hard-maze,normal,328680,64,1.322944,2.087072
