f0001,normal,2953750,64,4.710048,9.064768
f0001,normal,2953750,64,4.662208,8.667968
f0001,normal,2953750,64,4.673632,8.845600
f0001,normal,2953750,64,4.672352,9.336512
f0001,normal,2953750,64,4.656704,8.657344
f0001,normal,2953750,64,4.666368,8.839520
f0001,normal,2953750,64,4.746944,9.281184
f0001,normal,2953750,64,4.655616,9.120800
f0001,normal,2953750,64,4.683776,9.020032
f0001,normal,2953750,64,4.636640,8.612800
f0001,normal,2953750,64,4.671456,8.884864
f0001,normal,2953750,64,4.705792,9.128576
f0001,normal,2953750,64,4.651360,8.634272
f0001,normal,2953750,64,4.682048,9.006112
f0001,normal,2953750,64,4.669056,8.861856
f0001,normal,2953750,64,4.671104,8.942752
f0001,normal,2953750,64,4.648224,8.855360
f0001,normal,2953750,64,4.678016,9.016352
f0001,normal,2953750,64,4.663744,8.840096
f0001,normal,2953750,64,4.676704,9.236224
