random,10000,1024,0.248256,0.851840
random,10000,1024,0.244768,0.456512
random,10000,1024,0.246944,0.456096
random,10000,1024,0.246784,0.457056
random,10000,1024,0.245952,0.456864
random,10000,1024,0.249344,0.460928
random,10000,1024,0.245280,0.453632
random,10000,1024,0.246976,0.455584
random,10000,1024,0.248768,0.461952
random,10000,1024,0.248064,0.457792
random,10000,1024,0.249792,0.441888
random,10000,1024,0.248960,0.416608
random,10000,1024,0.247520,0.413120
random,10000,1024,0.246720,0.408576
random,10000,1024,0.245568,0.407552
random,10000,1024,0.205376,0.368896
random,10000,1024,0.207392,0.370528
random,10000,1024,0.204896,0.369120
random,10000,1024,0.205856,0.370592
random,10000,1024,0.205120,0.370368
