random,1048576,1,90.673950,93.002724
random,1048576,4,42.892735,45.387650
random,1048576,9,19.497728,21.663679
random,1048576,16,11.294688,13.352768
random,1048576,36,6.581856,8.928960
random,1048576,49,6.225056,8.309664
random,1048576,64,4.184448,6.340640
random,1048576,81,4.706848,6.719840
random,1048576,100,4.865056,7.011904
random,1048576,25,2578.016846,3371.002441
random,1048576,121,4.437120,6.556544
random,1048576,144,4.373728,6.514816
random,1048576,169,4.545440,6.953984
random,1048576,225,5.379936,7.578848
random,1048576,256,3.831616,5.823360
random,1048576,289,5.441824,7.622912
random,1048576,361,5.160000,6.802528
random,1048576,196,2575.315674,3368.321289
random,1048576,400,5.297536,6.887136
random,1048576,484,5.071744,6.661504
random,1048576,529,5.607520,7.205568
random,1048576,576,5.227200,6.825344
random,1048576,625,5.158688,6.792384
random,1048576,676,6.176832,7.770336
random,1048576,441,3369.487549,3498.466553
random,1048576,729,5.822848,7.434304
random,1048576,841,5.703808,7.335392
random,1048576,900,5.498336,7.139488
random,1048576,1024,4.785536,6.437888
random,1048576,784,1721.006104,1786.134155
