random,10000,64,0.2414656,0.4863936,0.244928
random,40000,64,0.3376592,0.6285552,0.290896
random,90000,64,0.5297984,0.9045376,0.3747392
random,160000,64,0.6671104,1.1697728,0.5026624
random,250000,64,0.9328512,1.7207552,0.787904
random,360000,64,1.3157568,2.3330816,1.0173248
random,490000,64,1.7431664,2.6763424,0.933176
random,640000,64,2.7194624,4.4090752,1.6896128
random,810000,64,3.448264,5.0433488,1.5950848
random,1000000,64,4.1257184,5.6913344,1.565616
random,1210000,64,5.0167472,6.844832,1.8280848
random,1440000,64,5.6739626667,7.8171413333,2.1431786667
random,1690000,64,7.5699712,16.5990363,9.0290651
random,1960000,64,7.6790176,10.4508512,2.7718336
random,2250000,64,8.9374693333,12.0307893333,3.09332
random,2560000,64,9.9137024,14.6618048,4.7481024
random,2890000,64,11.531504,15.4183808,3.8868768
random,3240000,64,12.5287466667,16.850645,4.3218983333
random,3610000,64,15.0166528,19.747984,4.7313312
random,4000000,64,15.24208,20.5028,5.26072
